label;cp;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;Q;Q_set;Q_var;pr;pr_set;pr_var;zeta;zeta_set;zeta_var;D;D_set;D_var;L;L_set;L_var;ks;ks_set;ks_var;kA;kA_set;kA_var;kA_char;kA_char_set;kA_char_param;Tamb;Tamb_set;SQ1;SQ1_set;SQ2;SQ2_set;Sirr;Sirr_set;hydro_group;kA_group;kA_char_group
pipe10_back;pipe;['network losses'];[None];[-392.6800214613568];['0x0000020135375390'];['component'];[];[];nan;False;False;-392.6800214613568;False;False;0.9127728464704764;False;False;84139037.2019877;False;False;0.036;True;False;104.30723848324239;True;False;0.00069;True;False;7.291367744886284;True;False;0x00000201353B21D0;False;m;0;True;-1.156659580010074;False;1.4375984677333216;False;0.2809388877232475;False;default;default;default
pipe11_back;pipe;['network losses'];[None];[-393.8072017695784];['0x0000020135375390'];['component'];[];[];nan;False;False;-393.8072017695784;False;False;0.9294364388517531;False;False;73228217.2288352;False;False;0.036;True;False;90.78546139112804;True;False;0.00069;True;False;7.291367744886355;True;False;0x00000201353B2208;False;m;0;True;-1.1652793273065534;False;1.4417250659695349;False;0.2764457386629815;False;default;default;default
pipe12_back;pipe;['network losses'];[None];[-394.9507525272402];['0x0000020135375390'];['component'];[];[];nan;False;False;-394.9507525272402;False;False;0.9782529078716522;False;False;23068407.900426637;False;False;0.036;True;False;28.600699292150182;True;False;0.00069;True;False;7.291367744886298;True;False;0x00000201353B2358;False;m;0;True;-1.1945273701811499;False;1.4459115962922944;False;0.2513842261111445;False;default;default;default
pipe13_back;pipe;['network losses'];[None];[-396.105037217536];['0x0000020135375390'];['component'];[];[];nan;False;False;-396.105037217536;False;False;0.9646688953571145;False;False;38847551.03519098;False;False;0.036;True;False;48.16637831516918;True;False;0.00069;True;False;7.291367744886279;True;False;0x00000201353B22E8;False;m;0;True;-1.1891966683642676;False;1.450137423457939;False;0.2609407550936713;False;default;default;default
pipe14_back;pipe;['network losses'];[None];[-397.2544569082665];['0x0000020135375390'];['component'];[];[];nan;False;False;-397.2544569082665;False;False;0.9467382861536588;False;False;61853039.06938114;False;False;0.036;True;False;76.69419795525604;True;False;0.00069;True;False;7.291367744886364;True;False;0x00000201353B2278;False;m;0;True;-1.180067432644182;False;1.4543454398984679;False;0.27427800725428586;False;default;default;default
pipe17_back;pipe;['network losses'];[None];[-366.296906225861];['0x0000020135375390'];['component'];[];[];nan;False;False;-366.296906225861;False;False;0.9894433822606117;False;False;211764618.11000392;False;False;0.0217;True;False;16.97056274847714;True;False;0.00069;True;False;6.692425261876952;True;False;0x00000201353B22B0;False;m;0;True;-1.1147792862327555;False;1.3410100905211826;False;0.22623080428842712;False;default;default;default
pipe16_back;pipe;['network losses'];[None];[-395.0358710150097];['0x0000020135375390'];['component'];[];[];nan;False;False;-395.0358710150097;False;False;0.9990662284803898;False;False;18538605.384905282;False;False;0.036;True;False;21.93171219946131;True;False;0.00069;True;False;7.291367744885735;True;False;0x00000201353B2438;False;m;0;True;-1.2066382517341172;False;1.4462232144060396;False;0.23958496267192242;False;default;default;default
pipe5_feed;pipe;['network losses'];[None];[-524.793752462128];['0x0000020135375390'];['component'];[];[];nan;False;False;-524.793752462128;False;False;0.9995909629010614;False;False;109675292.15491669;False;False;0.0217;True;False;8.54400374531753;True;False;0.00069;True;False;6.692425261878017;True;False;0x00000201353B2630;False;m;0;True;-1.4926708784143667;False;1.9212657970423874;False;0.4285949186280207;False;default;default;default
pipe15_feed;pipe;['network losses'];[None];[-518.7802080657867];['0x0000020135375390'];['component'];[];[];nan;False;False;-518.7802080657867;False;False;0.9368990971857681;False;False;218116324.1889062;False;False;0.0217;True;False;17.804493814764857;True;False;0.00069;True;False;6.692425261877785;True;False;0x00000201353B25F8;False;m;0;True;-1.4380995504172804;False;1.89925025834079;False;0.46115070792350954;False;default;default;default
pipe21_feed;pipe;['network losses'];[None];[-525.0998527035644];['0x0000020135375390'];['component'];[];[];nan;False;False;-525.0998527035644;False;False;0.9929435862892418;False;False;162680416.25076622;False;False;0.0217;True;False;13.152946437965905;True;False;0.00069;True;False;6.692425261877963;True;False;0x00000201353B2470;False;m;0;True;-1.491069762224492;False;1.9223864276169298;False;0.43131666539243785;False;default;default;default
pipe22_feed;pipe;['network losses'];[None];[-523.4532126709568];['0x0000020135375390'];['component'];[];[];nan;False;False;-523.4532126709568;False;False;0.9918086635347905;False;False;554136705.7481912;False;False;0.0217;True;False;44.28317965096906;True;False;0.00069;True;False;6.692425261878038;True;False;0x00000201353B25C0;False;m;0;True;-1.488177962385491;False;1.9163580914184764;False;0.4281801290329854;False;default;default;default
pipe24_feed;pipe;['network losses'];[None];[-523.1003669801047];['0x0000020135375390'];['component'];[];[];nan;False;False;-523.1003669801047;False;False;0.9981608471596963;False;False;330212425.8771068;False;False;0.0217;True;False;25.942243542145693;True;False;0.00069;True;False;6.692425261878006;True;False;0x00000201353B26D8;False;m;0;True;-1.4887571741700796;False;1.9150663261215624;False;0.4263091519514828;False;default;default;default
pipe26_feed;pipe;['network losses'];[None];[-520.7003014184846];['0x0000020135375390'];['component'];[];[];nan;False;False;-520.7003014184846;False;False;0.9993646150658899;False;False;154962617.76049578;False;False;0.0217;True;False;12.083045973594572;True;False;0.00069;True;False;6.692425261878042;True;False;0x00000201353B2710;False;m;0;True;-1.4835880688271936;False;1.9062797049917066;False;0.422691636164513;False;default;default;default
pipe28_feed;pipe;['network losses'];[None];[-491.4464544070515];['0x0000020135375390'];['component'];[];[];nan;False;False;-491.4464544070515;False;False;0.9959834035197954;False;False;686713110.4637759;False;False;0.0217;True;False;105.77334257741882;True;False;5e-05;True;False;6.31475789999996;True;False;0x00000201353B2748;False;m;0;True;-1.3997549449273676;False;1.7991816013437727;False;0.39942665641640507;False;default;default;default
pipe30_feed;pipe;['network losses'];[None];[-516.2555442843727];['0x0000020135375390'];['component'];[];[];nan;False;False;-516.2555442843727;False;False;0.9995029215519177;False;False;170415818.47117344;False;False;0.0217;True;False;13.152946437965905;True;False;0.00069;True;False;6.692425261878016;True;False;0x00000201353B2320;False;m;0;True;-1.4737274197760901;False;1.8900074841089978;False;0.41628006433290765;False;default;default;default
pipe32_feed;pipe;['network losses'];[None];[-494.8374374473621];['0x0000020135375390'];['component'];[];[];nan;False;False;-494.8374374473621;False;False;0.9998853564264332;False;False;86990822.1170725;False;False;0.0217;True;False;11.045361017187261;True;False;0.00029;True;False;6.484773988717494;True;False;0x00000201353B2860;False;m;0;True;-1.4159577960625986;False;1.811595963563471;False;0.39563816750087244;False;default;default;default
pipe34_feed;pipe;['network losses'];[None];[-541.265588656065];['0x0000020135375390'];['component'];[];[];nan;False;False;-541.265588656065;False;False;0.9999812485596535;False;False;2910215.535927876;False;False;0.036;True;False;5.0;True;False;0.00029;True;False;7.026988805196912;True;False;0x00000201353B27F0;False;m;0;True;-1.5456769671116442;False;1.9815690596963758;False;0.4358920925847316;False;default;default;default
